delever --propagate: src/ov_SC04_011/ov_SC04_011_jr_8015C32C.c:func_80163EC8 -> 0 sibling(s) of class 3b27c13d8d73
delever --propagate: src/ov_SC04_011/ov_SC04_011_jr_8015C32C.c:func_8015D01C -> 132 sibling(s) of class 4ea6e9f0cbcd
  delever --apply-body: src/ov_SC06_030/ov_SC06_030_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.41 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_032/ov_SC06_032_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.54 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_033/ov_SC06_033_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_025/ov_SC06_025_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.46 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_022/ov_SC06_022_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.43 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC07_001/ov_SC07_001_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.49 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC07_007/ov_SC07_007_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.42 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC07_011/ov_SC07_011_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.48 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC07_002/ov_SC07_002_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC07_008/ov_SC07_008_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC07_009/ov_SC07_009_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.53 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/shared/ov/func_8015D01C__e5d73af4.h:func_8015D01C IDENTICAL on 3 object(s) (1.40 s) — KEPT, ledgered (rung D, p1)
